Unnamed: 0,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,tconst,averageRating,imdb_rank,page_rank,page_rank_int
80201868,The Curious Creations of Christine McConnell,"Christine McConnell, Colleen Smith, Adam Mayfield","Series, Reality, Variety & Talk Shows, American Programmes, Comedy Programmes",,13+ ,"Wickedly talented baker and artist Christine McConnell fills her home with haunting confections, creepy crafts -- and wildly inappropriate creatures.",,tt8773080,7.7,203.5,0.001170751053095048,223.0
80146759,Tramps,"Callum Turner, Grace Van Patten, Michal Vondel","Critically-acclaimed Films, Crime Films, Independent Films, Romantic Independent Films, Romantic Films",Adam Leon,16+ ,"Pulled into a shady briefcase swap for different reasons, young strangers Danny and Ellie spend an eventful night together when the deal goes wrong.",,tt4991512,6.5,499.5,5.674711247035305e-05,766.0
80194671,The Climb,"Ahmed Sylla, Alice Belaïdi, Kevin Razy","International Films, French Films, Action & Adventure, Adventures, Comedies, Romantic Comedies, Dramas, Dramas based on a book, Dramas based on real life, Romantic Dramas, Romantic Films, Romantic Films based on a book",Ludovic Bernard,13+ ,A young Senegalese-French man from humble roots sets out to climb Mount Everest to impress the woman he loves -- and slowly becomes a media sensation.,"Based on a book by Algerian-French writer Nadir Dendoune, who also set out to conquer Mount Everest with no training.",tt7498002,7.6,224.0,4.37340644249064e-05,1404.0
80178941,Harvey Street Kids,"Lauren Lapkus, Stephanie Lemelin, Kelly McCreary","Animation, Kids' Music, Series, TV Programmes based on Comics, Kids’ Programmes, Comedy Programmes, TV Cartoons",,7+ ,"Kids rule in a place called Harvey Street, where a trio of girls right wrongs, ice cream is always an option, and every day feels like Saturday.","It's a modern-day take on the classic comics, with quirky characters and relatable lessons.",tt7758552,7.3,298.5,0.00033943134484666653,279.0
80999063,Super Monsters Save Halloween,"Elyse Maloway, Vincent Tong, Erin Matthews","Animation, Kids' Music, Children & Family Films, Little Kids",,All ,"The Super Monsters use their powers to get their neighbors in the Halloween spirit, then help a nervous friend see there's nothing to be afraid of.",,tt9085726,5.0,693.5,0.0014840942238800905,196.0
80063705,Word Party,"Victor Yerrid, Alice Dinnean, Alon Williams","Animation, Series, Kids’ Programmes, Education, Little Kids TV, Little Kids, TV Cartoons, Education & Guidance",,All ,"Meet Bailey, Franny, Kip and Lulu. They're adorable baby animals, and they want you to join the party and help them learn!",The Jim Henson Company created this show that helps toddlers learn social skills and increase their vocabulary.,tt5235950,5.9,616.5,0.00032685240052704353,282.0
80063599,True and the Rainbow Kingdom,"Michela Luci, Jamie Watson, Anna Claire Bartlam","Animation, Kids' Music, Series, Kids’ Programmes, Talking-Animal Kids' TV, Education, Little Kids TV, Little Kids, TV Cartoons, Education & Guidance",,All ,"When something's wrong in the Rainbow Kingdom, bighearted guardian True and her best friend, Bartleby, are there to grant wishes and save the day.",,tt5607658,7.8,180.0,0.00027951262470659547,297.0
80057611,Beat Bugs,"Ashleigh Ball, Lili Beaudoin, Charles Demers","Animation, Music & Musicals, Kids' Music, Series, Kids’ Programmes, Talking-Animal Kids' TV, Education, Little Kids TV, Little Kids, TV Cartoons, Education & Guidance, Animal Tales",,All ,"With songs made famous by the Beatles, five friendly bugs learn big lessons about the world around them -- all from the safety of their own backyard.","This Emmy-winning kids' series features the talents of P!nk, Sia, Eddie Vedder, James Corden and other big-name stars.",tt4716268,7.9,157.5,0.00023400703814079534,308.0
80108159,Ask the StoryBots,"Judy Greer, Erin Fitzgerald, Fred Tatasciore","Animation, Series, Kids’ Programmes, Education, Little Kids TV, Little Kids, TV Cartoons, Education & Guidance",,All ,"Five curious little creatures track down the answers to kids' biggest questions, like how night happens or why we need to brush our teeth.","This show is based on the popular StoryBots apps and website, which have won an Emmy and several Parents' Choice Awards.",tt5846856,7.8,180.0,0.0016320085274848402,176.0
80195962,Duck Duck Goose,"Jim Gaffigan, Zendaya, Lance Lim","Animation, Children & Family Films, Animal Tales, Comedies, Wacky Comedies",Chris Jenkins,7+ ,"As his flock's annual migration nears, a carefree goose is grounded with an injury and takes a pair of lost ducklings under his wing.","Jim Gaffigan leads an all-star voice cast that includes Zendaya, Natasha Leggero, Reggie Watts and Carl Reiner.",tt4940416,5.6,651.0,0.0017148658924736083,163.0
80204923,Benji,"Gabriel Bateman, Darby Camp, Kiele Sanchez","Hollywood Films, Children & Family Films, Animal Tales, Dramas",Brandon Camp,7+ ,A determined dog comes to the rescue and helps heal a broken family when a young boy and his sister stumble into some serious danger.,Brandon Camp helms this reboot of his father's heartwarming 1970s classic that spawned an unlikely box office sensation.,tt2519480,7.4,267.0,0.0017394267958102346,155.0
