,Unnamed: 0,Key,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,Production,Distributed_by,imdb,Time
0SC7NK54SQJQRBB812JMB3V7S3,,,Jahangirer Swarna Mudra,"Sabyasachi Chakraborty, Saswat Chatterjee, Bibhu Bhattacharya","International, Drama",Sandip Ray, 13+ Teens,,,Angel Digital,,,
0TZVZPFYXRQFM71ETSDMG0AXVD,,,Ambar Sen Antordhan Rahasyo,"Sabyasachi Chakraborty, Tapas Paul, Saswat Chatterjee","International, Drama",Sandip Ray, 13+ Teens,,,Angel Digital,,,
0IV8N008RDVFEAOKVELJ6JUH1Y,,,Bidaay Byomkesh,"Abir Chatterjee, Sohini Sarkar","International, Drama",Debaloy Bhattacharya, 13+ Teens,,,,,,
0RQWE2TGK576FP7UL6CH8GU56S,,,Golapi Mukta Rahasya,"Sabyasachi Chakraborty, Saswat Chatterjee, Bibhu Bhattacharya","International, Drama",Sandip Ray, 13+ Teens,,,Angel Digital,,7.3,98.0
0PYZQP6GCNZVBERDMAN0RXDGP9,,,Uma,"Jisshu U Sengupta, Sara Sengupta","Drama, International",Srijit Mukherji, 13+ Teens,,,,,,
0NHG90JTGJP90AG0MBIJBYQ093,,,Thuparivaalan,,"Action, International",, 13+ Teens,,,,,7.6,154.0
0NLP21YPG8DTVVTZU8OM6BCTHY,,,Dhruvangal Pathinaru,,"Suspense, International",, 13+ Teens,,,,,,
0T1T2QS116XIHP2K9PX30OL2OY,,,Sunyo Theke Suru,"Deba, Soumitra Chatterjee, Bhola Tamang","International, Drama",Tutul Banerjee, 13+ Teens,,,,,,
0RE4J3T8L1CDOY205W6RTMH55P,,,Khirki Theke Singhadwar,"Parna Bandopadhyay, Rajesh Sharma, Badsha Moitra","International, Drama",Sandip Sarkar, 13+ Teens,,,,,,
0MW5BUK7W41VWJS0QJWYYO875G,,,Kablar Biye,"Deba, Pooja, Apurba Roy","International, Drama",Tutul Banerjee, 13+ Teens,,,,,,
0M2AKHYPNAZKZTEO77TQHVLLZI,,,Diba Ratrir Kabya,"Madhabi Mukherjee, Anjana Bhowmik, Basant Choudhury","International, Drama","Bimal Bhowmik, Narayan Chakraborty", 13+ Teens,,,,,,
0FSEARGCW6WH6P5DOTQQOC7V7G,,,Phande,"Tulika Basu, Biswanath Chakraborty, Bhasker Bandopadhyay","International, Drama",Gobinda Sil, 13+ Teens,,,,,,
0GHYDXP21KPKVJVQ4U2A082ZHS,,,Mayur Kanthi Jeli,"Sabyasachi Chakraborty, Arjun Chakraborty, Sonali Chakraborty","International, Drama",Sandip Ray, 13+ Teens,,,Angel Digital,,,
0HOKWWC3GYY39D58LAHY7JQWH9,,,Ghurghutiar Ghatana,"Sabyasachi Chakraborty, Saswat Chatterjee, Kharaj Mukherjee","International, Drama",Sandip Ray, 13+ Teens,,,Angel Digital,,,
0N8XLWPMNOKGHFIWSDCJ87X93Q,,,Bolo Dugga Mai Ki,"Ankush Hazra, Nusrta Jahan","Comedy, International, Romance",Raj Chakraborty, 13+ Teens,,,,,6.8,155.0
0G56UDKIQUJVIBW98ZY43YL46Q,,,Hera Pheri,"Vivek, Subhasish Mukherjee, Rajatava Dutta","Drama, International",Sujit Guha, 13+ Teens,,,,,,
0KADBT1DUH5RUJICDVFV8LZ5XK,,,Eai Ki Prem,"Kaushik, Santona Bose, Arnab","Drama, International",Iman Bagani (Khokan), 13+ Teens,,,,,,
0K63VIDGNGNTK1N3ZY4SCH4YKD,,,Dusmani,"Deba, Sangeeta, Santona Bose","International, Drama",Tutul Banerjee, 13+ Teens,,,,,,
0I5LVA9XENHOM2CNVM3IM6IA8C,,,Ranbhool,,"International, Suspense",, 13+ Teens,,,,,5.6,115.0
0IMP16N179H3ZRL0CIWOWZVLVN,,,Jaan,"Arpan Banerjee, Promila Ghosh, Debu Das","Drama, International",Jayanta Kumar, 13+ Teens,,,,,,
0NHGFWM7NGLNXWB69V6LED6H19,,,Clapstick,"Soumitra Chatterjee, Santanu Basu, Kharaj Mukherjee","Drama, International",Biswanath Chakraborty, 13+ Teens,,,,,,
0PHX4XXCV6KFM8R4AGJ6MBUCC4,,,Bidyesh - The Envy,"Kharaj Mukherjee, Sudip Mukherjee, Jack","Drama, International",Sudipto Bhattacharya, 13+ Teens,,,,,,
0S7Y4RMCIMXWGRXD2W9PFRWSSD,,,ONE,"Prosenjit Chatterjee, Nusrat Jahan, Yash Dasgupta","International, Suspense",Birsa Dasgupta, 13+ Teens,,,,,6.0,147.0
0FO4KFW2S2BMMSWWEY4DOOQYXG,,,Flavor of Love,,Unscripted,Zach Kozek, 16+ Young Adults,,,51 Minds Entertainment,,,
0PM6KHUHC1AVDORHZGUEBIB83N,,,Ancient Inventions,,"Documentary, Special Interest",Daniel Percival, 18+ Adults,,,MagellanTV; Magellan TV,,,
0ST9GQSTL2Y9RUK20SZ84MBWTL,,,Parasuramer Kuthar,"Sreelekha Mukherjee, Arun Mukherjee, Ranjit Chakraborty","International, Drama",Nabyendu Chatterjee, All Ages Kids,,,,,,
0PQGG2TX9U8EZT848HWPHS7DNY,,,Jugnu,"Dharmendra, Hema Malini, Pran","International, Suspense",Pramod Chakravorty, All Ages Kids,,,,,,
0TELUXM7B0GTMKBOIE0KJ7B8HC,,,Govinda,"Swapnil Joshi, Girija Joshi, Arun Nalawade",Drama,Aatmaram Tukaram Dharne, All Ages Kids,,,Shemaroo Entertainment Ltd,,,
0FWM7SEXE4Y7O9JJ9WHSP8DGDF,,,Ladi Godi,"Varsha Usgaonkar, Tushar Dalvi, Sanjay Narvekar","International, Comedy",Mahesh Tilekar, All Ages Kids,,,,,,
0I5M0OY7QN0ZAIYHWM6KU2PFJ3,,,Anandache Jhaad,,"Drama, International",, All Ages Kids,,,,,3.4,150.0
0G9EUTU1NBU5XO4A1XOBNAG8RF,,,Thoda Tuza Thoda Maza,"Ajinkya Deo, Varsha Usgaonkar, Nikhil Kakade","Drama, International",Anil Kakade, All Ages Kids,,,,,,
0RICRJDG1T7NLN4KP2ISN3KPBG,,,Sakhi,"Ashok Saraf, Sonali Kulkarni, Subodh Bhave","International, Drama",Sanjay Soorkar, All Ages Kids,,,,,7.2,152.0
0IV6PTKMGMY3LWA8H6W8SP7XVD,,,Ek Cup Chya,,"Drama, International",, All Ages Kids,,,,,8.0,113.0
0FJU1M9C4YB7EU82WB056GFP37,,,Sarivar Sari,,"International, Drama",, All Ages Kids,,,,,7.4,126.0
0N8WC4GC5Z9TDM77GLVXTE4FXD,,,Valu,"Atul Kulkarni, Mohan Agashe, Bharti Achrekar","International, Comedy",Umesh Vinayak Kulkarni, All Ages Kids,,,,,7.3,121.0
0GQI4VK6AF50UOI3ENKBIQKAMM,,,Aga Bai Arechha,"Sanjay Narvekar, Dilip Prabhavalkar, Rekha Kamath","Comedy, International",Kedar Shinde, All Ages Kids,,,,,,
0GZ14BZ556W7RW4C376RXD3KTZ,,,Jatra,"Bharat Jadhav, Vijay Chavan, Priya Berde","International, Comedy",Kedar Shinde, All Ages Kids,,,,,,
0TN2OYJ84QVYEPS6WW6V6E5DU7,,,Shikshanachya Aaicha Gho,"Bharat Jadhav, Siddarth Jadhav, Sachin Khedekar","Drama, International",Mahesh Vaman Manjrekar, All Ages Kids,,,,,6.8,103.0
0ND7U6Y9K0RDFA6EVYTO6HCHBX,,,Ek Unad Divas,"Ashok Sharaf, Sudhir Joshi, Viju Khote","International, Drama",Vijay Patkar, All Ages Kids,,,Shardul Films,,,
0MAUHNVMS7SAFD2BQNCW1GIY1X,,,Khabardar,"Vijay Chavan, Makarand Anaspure, Bharat Jadhav","Suspense, International, Comedy",Mahesh Kothare, All Ages Kids,,,,,,
0T1RIAAYPWYOYBP5L2LGHP9CO6,,,Haapus,,"International, Drama, Comedy",, All Ages Kids,,,,,7.5,132.0
0RQVXMD0HH5FOSK2HZSTQ0U65A,,,Gammat Jammat,,"International, Drama",, All Ages Kids,,,,,7.6,149.0
0J7YUW1L2U750L8H79HKARTBX3,,,Agadbam,,"International, Comedy",, All Ages Kids,,,,,3.6,127.0
0N8WEESKMFAQ961J5EYJKC782Z,,,Jawab,"Ashok Kumar, Meena Kumari, Jeetendra","International, Drama",Ramanna, All Ages Kids,,,,,5.8,161.0
0G9EZ4EUQA0DPH660Z0LYDG0C6,,,SNG,"Varun Thakur, Aadar Malik, Kautuk Shrivastava","Unscripted, International",Ashwin Rai Shetty, 13+ Teens,,,OML,,,
0IV6TTLQZEAM1D79T779ISL992,,,Kommune presents The Storytellers in the Living Room,,"International, Arts, Entertainment, and Culture",, 13+ Teens,,,OML,,,
0M6L2NBCNZ4CKUAVRZLL4UX2SK,,,Mehmaan Nawazi,"Nalini Negi, Arshi Khan, Rohit Verma","International, Unscripted, Talk Show and Variety",Triparna Rout, 7+ Older Kids,,,Rajshri Entertainment Private Limited,,,
0MRV3RJ6RD2MDN5ZNDENI5XNUM,,,Strawberry Shortcake - Season 1,,Kids,, All Ages Kids,,,dhx_media,,4.8,
0TZX7S83T5J73N0RFVBY7S1SXU,,,Chota Birbal,"Akbar, Birbal","International, Kids, Animation, Adult Interest",Ultra Media & Entertainment Pvt. Ltd., All Ages Kids,,,Ultra Media & Entertainment Pvt. Ltd.,,,
0J3RMOXOI1HA3KXQWYZUYEV9J5,,,Raja Aur Rancho,"Ved Thapar, Monkey, Mohan Bhandari","Comedy, International","Murali Nallapa, Rajan Waghdhare", 13+ Teens,,,Ultra Media & Entertainment Pvt. Ltd.,,,
0GHXPALSXI07I4TGWFDQUMTOKM,,,Jagadguru Adi Shankara,"Kaushik Babu, Chiranjeevi, Nagarjuna Akkineni","Drama, International",J.K. Bharavi, All Ages Kids,,,,,8.0,128.0
0LTSDVCDTZF3KJ1TUHPLCQYA9C,,,Raja Rammohan,"Basanta Chowdhury, Chhaya Debi, Basabi Nandi","International, Drama",Bijoy Bose, All Ages Kids,,,,,,
0KABXK1NC76KRRJ628EYPBNOB2,,,Tukaram,"Jitendra Joshi, Radhika Apte, Sharad Ponkshe","Drama, International",Chandrakant Kulkarni, All Ages Kids,,,Everest Entertainment,,7.0,162.0
0M2B7TCIYJ28B2QDON0HTCJSUM,,,Halo,"Rajkumar Santoshi, Supriya Pathak, Benaf Dadachandji","International, Drama",Santosh Sivan, All Ages Kids,,,Ultra Media & Entertainment Pvt. Ltd.,,,
0FO51WSZV712C0EMU8P6G5UXJP,,,Narbachi Wadi,"Dilip Prabhavalkar, Manoj Joshi, Nikhil Ratnaparakhi","Drama, International",Aditya Ajay Sarpotdar, 13+ Teens,,,,,,
0J7ZBS5RIKH3V5S8L0A8HIXL07,,,Fugay,,"International, Comedy",, 13+ Teens,,,,,5.6,120.0
0JTBWE9GQ7XJXL3JSGEGD1OZYU,,,Duniyadari,"Swapnil Joshi, Ankush Chaudhary, Urmila Kanitkar","Romance, International",Sanjay Jadhav, 13+ Teens,,,,,,
0IQYU895H26UYE94JXWD9A9S10,,,Ranangan,"Pranali Ghogare, Anand Ingle, Sachin Pilgaonkar","International, Drama",Rakesh Sarang, 13+ Teens,,,,,,
0MAUB1G0AS2QEPS9XXL3518AG1,,,Por Bazaar,"Ankush Chaudhari, Sai Tamhankar, Chitra Nawathe","International, Drama",Manava Naik, 13+ Teens,,,ARD Entertainments,,,
0RZG19C8XFRMKQY9HLYORYQK32,,,One Way Ticket,"Shashank Ketkar, Sachit Patil, Gashmir Mahajani","Romance, International","Kamal Nathani, Amol Shetge", 13+ Teens,,,Mekbrand,,,
0MW62OX6BGSEEIX1XMQKQY6NVB,,,Me Yetoy..Chhota Pudhari,"Ghanshyam Darawade, Nitin Aswar, Somnath Darode","Drama, International",Nitin Aswar, 13+ Teens,,,Ultra Media & Entertainment Pvt. Ltd.,,,
0KENGFHPB5VY8MQORK6QD30H20,,,Yaari Dosti,"Hansraj Jagtap, Akash Waghmare, Mitali Mayekar",Comedy,Shantanu Anant Tambe, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0QOIM0SLA7Y2O11LOBWQ7YS66R,,,Mumbaicha Dabbewale,,"International, Drama",, 13+ Teens,,,,,4.9,149.0
0TEK0U2SYHU9X6YNWYNN9EL57H,,,Varaat Ali Gharat,"Alka Athalye, Vijay Gokhale, Bharat Jadhav","Drama, International",Nagesh Bhosle, 13+ Teens,,,,,,
0FO3B727DCN6CVUWXX9T7G09GU,,,Prem Mhanje Prem Mhanje Prem Asta,,"Romance, International, Drama",, 13+ Teens,,,,,7.0,136.0
0HOLNHJ1IZV76MT3X2FFPR0SMJ,,,Mitwaa,"Swwapnil Joshi, Sonalee Kulkarni, Prarthana Behere","Romance, International",Swapna Waghmare Joshi, 13+ Teens,,,Meenakshi Sagar Productions,,,
0P53I0UI17Z85U30HPOPF35GB3,,,Happy Journey,,"Drama, International",, 13+ Teens,,,,,6.9,123.0
0LL7Y0B56CG42RYEVT43VI4YLU,,,Tee Ratra,"Subodh Bhave, Prasad Oak, Santosh Juvekar","Drama, International, Suspense",Viju Mane, 13+ Teens,,,,,5.2,134.0
0I1CBXE4IMN1JEMEGZPZ9EFV20,,,Popat,,"International, Drama",, 13+ Teens,,,,,7.0,153.0
0HX2WTP1RE98UOK32NG2D7AZKM,,,Time Please,"Priya Bapat, Siddharth Jadhav, Umesh Kamat","Drama, International",Sameer Vidwans, 13+ Teens,,,,,7.1,126.0
0SXK1PVLSUZWXRRI3ORDLLWVQ7,,,Dream Mall,"Siddharth Jadhav, Neha Joshi",Action, Suraj Mulekar, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0FFM81VWUTMOGYDY9FCSZ5LUYI,,,WassUp With You,Shwetambara Sawant,"International, Documentary, Young Adult Audience, Talk Show and Variety",Shwetambara Sawant, 13+ Teens,,,Rajshri Entertainment Private Limited,,,
0U8FR804PSK7D7NDWIK4ADFCA9,,,Ancient Warriors,,Documentary,"Phil Grabsky, Peter Nicholson, Nigel Maslin", 13+ Teens,,,MagellanTV; Magellan TV,,,
0KZXUTA2QQ7LNGVRGBWTVIZV0W,,,Rome,,Documentary,Chris Mitchell, 16+ Young Adults,,,MagellanTV; Magellan TV,,,
0GHZAYBNV9VV5WACZPR3K8JPHH,,,Secret Nature,Mark Strickson,"Special Interest, Documentary",Julian Thomas, 16+ Young Adults,,,Southern Star,,,
0N4MWD7PXE0MDAXRHWNIV8BQD4,,,Yanda Kartavya Aahe,,"International, Drama",, All Ages Kids,,,,,6.6,150.0
0P0VZEBKCQ4SOJQ82AOKJKZ25Z,,,Hi Porgi Kunachi,"Nirmiti Sawant, Arun Nalawade, Ranjit Jog","International, Comedy",Girish Mohite, All Ages Kids,,,,,,
0S7XALHUX1SXNWZSHKO56IB253,,,Gabhricha Paus,"Girish Kulkarni, Sonali Kulkarni, Aman Attar","International, Drama",Satish Manwar, All Ages Kids,,,Everest Entertainment,,7.2,99.0
0TIVDP6XMP5ELJ3URXXSQ1C87M,,,Mee Tulas Tujhya Angani,"Aaishwarya Narkar, Ashok Shinde, Surekha Kudachi","International, Drama",Pitambar Kale, All Ages Kids,,,Shree Tirupati Balaji Chitra,,,
0HG33RQQ3VQNH2XZJPX2ENDEE0,,,Blackboard,"Arun Nalawade, Madhavi Juvekar, Rajesh Bhosale",Drama,Dinesh Deolekar, All Ages Kids,,,Shemaroo Entertainment Ltd,,,
0ST8M99CS11N4UFWOXPVHHENWL,,,Khel Mandala,,"International, Drama",, All Ages Kids,,,,,8.5,128.0
0JXLFO5SVLFDCHQ12SP8GAL8CA,,,2014 Rajkaran,"Ramesh Deo, Sudesh Mhashilkar, Prasad Oak","Drama, International",Pradeep Bhore, All Ages Kids,,,,,,
0TAAC2J6E906H44RD20OTX8QJU,,,Fakt Ladh Mhana,"Siddarth Jadhav, Aniket Vishwasrao, Bharat Jadhav","Drama, International",Sanjay Jadhav, 13+ Teens,,,,,6.7,150.0
0GM6ZFMY8Z8MZS8RCOLWHO440A,,,Paradh,,"International, Drama",, 13+ Teens,,,,,7.0,127.0
0N0F7FV5JIL9111TMZSLYRV9OH,,,Chal Love Kar,"Bharat Jadhav, Sanjay Narvekar, Sonalee Kulkarni","International, Comedy",A. Radhaswami, All Ages Kids,,,,,,
0PDOCXMN3NZB8PF0PI97A15IAA,,,Uladhaal,"Bharat Jadhav, Ankush Chaudhari, Makrand Anaspure","International, Suspense",Aditya Ajay Sarpotdar, All Ages Kids,,,Vishwas Chitra,,,
0LY2EJ04R1M05ECLZ4V7R7PDKU,,,Asa Mi Tasa Mi,"Makarand Anaspure, Ravindra Berde, Rahul Mehendale",Comedy,Raman Kumar, All Ages Kids,,,Shemaroo Entertainment Ltd,,,
0STAHMTMO3BOFUQFKXGNFPEJVX,,,Nana Mama,"Bharat Jadhav, Makarand Anaspure, Deepak Shirke","Comedy, International",Sameer Kulkarni, All Ages Kids,,,A.V. Telefilms Pvt. Ltd,,,
0JP2J2TYJ05UU4F36ZAX0DUUX1,,,Full 3 Dhamaal,"Makarand Anaspure, Prasad Oak, Suchitra Bandekar","Comedy, International",Mahesh Kothare, All Ages Kids,,,,,,
0KRFLT8NA7JUB033EBHYRK9C7Y,,,Manya Sajjana,"Makarand Anaspure, Smita Shevle, Mohan Joshi","International, Comedy",Milind Lele, All Ages Kids,,,Saptadevata Chitra,,,
0SKPOSDN9DD4QATAHACYYCEIQB,,,Mike & Molly,"Jim Caviezel, Taraji P. Henson, Kevin Chapman",Comedy,, 16+ Young Adults,,,,,6.4,
0GM6ZF5EEFJNL8AQ4WEEB02SAC,,,Supernatural,"Jared Padalecki, Jensen Ackles","Horror, Drama, Suspense",, 16+ Young Adults,,,,,8.5,
0FJTYK2JJYPK3ZA10FUT08RXXI,,,The Mentalist,"Simon Baker, Robin Tunney, Tim Kang",Drama,, 16+ Young Adults,,,,,8.1,
0HBS7IMBXI533F11YF170IRUN4,,,Maanagaram,,"International, Action",, 13+ Teens,,,,,8.2,135.0
0Q38D8TBW09T13EYE8P2XG0X0S,,,Theeran Adhigaaram Ondru,"Karthi, Rakul preet Singh, Bose Venkat","Action, International",H.Vinoth, 13+ Teens,,,,,8.4,156.0
0HKCD3RRCMK6U08VI5TH1ESEEO,,,KAALA (Tamil),"Super Star Rajinikanth, Nana Patekar, Huma Qureshi","Action, International",Pa.Ranjith, 13+ Teens,,,,,,
0LL99JF0I8XG2XOSHCIR4ZGROS,,,Aruvi,"Aditi Balan, Lakshmi Gopalaswamy, Shwetha Shekar","Drama, International",Arun Prabu Purushothaman, 13+ Teens,,,,,8.9,130.0
0JGHYCTR7U1NF3SD2PXQSBNP4R,,,Kaashmora,,"Horror, International",, 13+ Teens,,,,,5.6,161.0
0ND7A7FZV1X1ISXOKUFUSD9P6X,,,Rommel,"Ulrich Tukur, Tim Bergmann, Rolf Kanies","Action, Military and War, Drama",Niki Stein, 16+ Young Adults,,,Samuel Goldwyn Films,,,
0NPY255W4ANPAWBSAQMDB09KWI,,,Mad Men - Season 1,,Drama,, 16+ Young Adults,,,,,8.6,
0J3PJ75MSUFCF8R5O240VOP97A,,,Lethal Weapon,"Damon Wayans, Clayne Crawford, Kevin Rahm","Drama, Action",, 16+ Young Adults,,,,,8.0,
0PDMGSLYGO9YST3DZ6UYAE5GG7,,,Rizzoli & Isles,"Angie Harmon, Sasha Alexander, Jordan Bridges","Action, Drama",, 16+ Young Adults,,,,,7.6,
0G553I5RHVJ08J6G2VTH89EWK7,,,The Good Wife - Season 1,"Julianna Margulies, Christine Baranski, Josh Charles",Drama,, 16+ Young Adults,,,,,8.3,
0JKR8317UQ3HVBWV3RDPBC5KG5,,,Blue Bloods - Season 1,"Tom Selleck, Len Cariou, Bridget Moynahan",Drama,, 16+ Young Adults,,,,,7.5,
0PDMHS0RHIOUBEL11JXKP7DAG6,,,Bosch - Season 1,,Drama,"Jim McKay, Kevin Dowling, Ernest Dickerson, Roxann Dawson, Alex Zakrzewski, Matt Early Beesley, Thomas Carter", 18+ Adults,,,Amazon Studios,,8.4,
0N8XK3P56SMWKF19CT02U6R1FE,,,T2 Trainspotting,"Ewen Bremner, Robert Carlyle, Jonny Lee Miller",Drama,Danny Boyle, 18+ Adults,,,"Cloud Eight Films, DNA Films, Decibel Films, TS2 Productions Limited",,,
0LL805LRLJUMK1H89CP0LFLBL5,,,Mr. Robot - Season 1,"Rami Malek, Christian Slater, Carly Chaikin","Suspense, Drama",, 18+ Adults,,,,,8.6,
0LGYGZWNYXARERNOQ0RSJCG0AZ,,,The Ghost and the Darkness,"Val Kilmer, Michael Douglas, Brian McCardie","Action, Drama",Stephen Hopkins, 18+ Adults,,,,,6.8,109.0
0KRF2EXW1VF9YCE1DI4TGB4Z17,,,Beyond JFK,"Edward Asner, Uma Bertel, Madeleine Brown",Documentary,"Barbara Kopple, Danny Schechter", 18+ Adults,,,,,,
0HG15ONX4QGC7IEFJCRU7Q18WP,,,Fringe,"Anna Torv, Joshua Jackson, Lance Reddick","Science Fiction, Drama",, 16+ Young Adults,,,,,8.4,
0ST8MOWNG8SXRNWL7NEQXCSMGT,,,Angie Tribeca Season 1,"Rashida Jones, Hayes MacArthur, Jere Burns",Comedy,, 16+ Young Adults,,,TBS,,7.0,
0K1TZK2F4A5HE05A0OKZVS2DFD,,,The Who,"Pete Townshend, Roger Daltrey, John Entwistle","Documentary, Kids, Music Videos and Concerts",, 13+ Teens,,,Multicom Entertainment Group (MEG),,,
0I1D5Z7373HX8NZJ34N3DVQRBO,,,The Last Tycoon - Season 1,"Matt Bomer, Kelsey Grammer, Lily Collins",Drama,"Billy Ray, Julie Anne Robinson, Scott Hornbacher, Gwyneth Horder-Payton, Stacie Passon, Daisy von Scherler Mayer", 18+ Adults,,,Amazon Studios,,7.8,
0FBBUWRIHT8VMT8UZ09D5W07S1,,,The Incredible Journey of Mary Bryant,"Sam Neill, Romola Garai, Jack Davenport","Drama, Action",Peter Andrikidis, 18+ Adults,,,FilmRise,,,
0GM6WOTALSE01OHP8K5R7KMQKC,,,House of Lies - Season One,"Don Cheadle, Kristen Bell, Ben Schwartz","Comedy, Drama",, 18+ Adults,,,,,7.4,
0TIT8Z8S9D4DWONKIY8GAXPBNI,,,NCIS - Season 1,"Mark Harmon, Sasha Alexander, David McCallum","Action, Drama",, 16+ Young Adults,,,,,7.9,
0FJTX2WUILN317OMRADQB9N6KC,,,V,,"Science Fiction, Drama",, 16+ Young Adults,,,Warner Bros.,,6.8,
0FSCTOCCURIQY12ULZGHIMOOID,,,CONSTANTINE,,"Action, Suspense, Science Fiction",, 16+ Young Adults,,,,,7.6,
0P0U4N2VPV0GJX006JMXI60LGB,,,"Startup, Season 1","Adam Brody, Edi Gathegi, Otmara Marrero","Suspense, Drama",, 18+ Adults,,,Crackle.com,,8.1,
0P0VCYNZOCKLCZ8377WGH5LJFX,,,Absentia - Season 1,"Stana Katic, Patrick Heusinger, Ralph Ineson","Drama, Suspense",, 16+ Young Adults,,,Amazon Studios,,7.3,
0ST9PQYI4J74DLFZ6H2RTYKD78,,,The Marvelous Mrs. Maisel - Season 1,"Alex Borstein, Marin Hinkle, Rachel Brosnahan","Drama, Comedy",, 16+ Young Adults,,,Amazon Studios,,8.7,
0HBSJWFIHCW6RDKSPFSX0YILCW,,,Lore - Season 1,,Horror,"Darnell Martin, Thomas Wright, Nick Copus, Michael Satrazemis", 16+ Young Adults,,,Amazon Studios,,,
0O2QWM335JFPKX3SDDOWZTPDNE,,,Patriot,,"Drama, Suspense","Steven Conrad, Ted Griffin, Tucker Gates, Michael Trim, James Whitaker", 18+ Adults,,,Amazon Studios,,8.3,
0L47O8T58JEEA7HZRQO7FMZS1W,,,Station 19,,Drama,, 16+ Young Adults,,,ABC,,,
0TVNJJQYMZMNZAQADQK4H4I2VG,,,Forever - Season 1,"Maya Rudolph, Fred Armisen",Comedy,"Alan Yang, Janicza Bravo, Miguel Arteta", 16+ Young Adults,,,Amazon Studios,,,
0TEJVMKVVTN398Y9L7FI31XXKQ,,,Person of Interest,"Jim Caviezel, Taraji P. Henson, Kevin Chapman","Action, Suspense, Drama",, 16+ Young Adults,,,,,8.4,
0HG171U5HU5R7HWV3MFOVLK94P,,,Murder in the First,,Drama,, 18+ Adults,,,,,7.3,
0H7I94EQH6NZY812H76ZPCYAZ1,,,Major Crimes,"Mary McDonnell, G.W. Bailey, Tony Denison",Drama,, 16+ Young Adults,,,WB,,7.7,
0U8FAESF86GQ8B08T6Y05RWWKF,,,Emerald City,"文森特多诺费奥, Vincent D'Onofrio, Vincent D'Onofrio","Fantasy, Drama","大衛舒勒, 尚恩卡西迪, 喬許傅利曼, 馬修阿諾德, 塔森辛-達伍", 16+ Young Adults,,,NBCUniversal,,,
0L8FNEN0HWHEJLTA7ACFJ6HZ78,,,"Preacher, Season 1","Dominic Cooper, Joe Gilgun, Ruth Negga","Drama, Suspense, Science Fiction, Action",, 18+ Adults,,,AMC Studios,,8.1,
0QBQ3XJ4UPZHM7Z8YLFROAKLFU,,,Fear the Walking Dead - Season 1,,"Drama, Horror",, 16+ Young Adults,,,AMC,,7.0,
0S3NWDOSP9E3UNHVP4R6P14VZR,,,Hap and Leonard - Season 1,,"Suspense, Drama",, 16+ Young Adults,,,Entertainment One,,7.6,
0KZX2UTXVNBUZT1NOEOKFQB24W,,,You Are Wanted - Season 1,"Matthias Schweighöfer, Alexandra Maria Lara, Catrin Striebeck",Drama,"Bernhard Jasper, Matthias Schweighöfer", 13+ Teens,,,,,,
0OO2FBSUO2361515CYI7EW0N4H,,,Lexx,"Brian Downey, Michael McManus, Xenia Seeberg",Science Fiction,"Chris Bould, Paul Donovan", 13+ Teens,,,FilmRise,,,
0STAMWLVGOXC27I1B3CF8URRY9,,,Deadly Game,"Michelle Bonev, Claudio Alfonsi, Gaetano Aronica","Action, Suspense, Drama",Michelle Bonev, 16+ Young Adults,,,Romantica Entertainment,,,
0RZG5UH09TZLZIRYG7RWJ8720U,,,Marvel's Cloak & Dagger,"Noëlle Renée Bercy, Olivia Holt, James Saito","Fantasy, Drama","Gina Prince-Bythewood, Alex Garcia Lopez, Ami Canaan Mann, Peter Hoar, Jennifer Phang", 16+ Young Adults,,,ABC,,,
0ND6NVY6Z75UFNXC1COXP7W0V3,,,Jean Claude Van Johnson - Season 1,"Jean-Claude Van Damme, Phylicia Rashad, Moises Arias",Comedy,Peter Atencio, 18+ Adults,,,Amazon Studios,,7.8,
0O711GQD1DSSV19HYJIYWRLJZM,,,Vesuvius,,"Action, Documentary",Marco Visalberghi, 18+ Adults,,,XiveTV,,,
0TN2Z5WRZAJD464SZJT66EW38B,,,Sneaky Pete - Season 1,"Giovanni Ribisi, Marin Ireland, Shane Mcrae",Drama,"Seth Gordon, Michael Dinner, Michael Pressman, Craig Zisk, Sarah Pia Anderson, Adam Arkin, Laura Innes, Bryan Cranston, Rosemary Rodriguez", 18+ Adults,,,Amazon Studios,,8.2,
0FSDVCXHSEGOLS8PQY6BPSESJS,,,U.S. Bounty Hunters,"Fred the Enforcer, Benny the Teddy Bear, Denise the Huntress","Documentary, Unscripted, Action",Fred the Enforcer, 13+ Teens,,,XiveTV; Xive TV,,,
0QOKMY2XSWTHTZPNNO6GI7P8AJ,,,Beat - Season 1,"Svenja Jung, Gudrun Ritter, Karoline Herfurth",Drama,Marco Kreuzpaintner, 16+ Young Adults,,,Amazon Studios,,7.5,
0NYISIB1Y7Q42PAHFH4YPKZCOP,,,Eat. Race. Win. - Season 1,"Hannah Grant, Matthew White","Sports, Special Interest",, 16+ Young Adults,,,Amazon Studios,,,
0OSD585A3V706FDXSRUQ5WUI28,,,Rush,"Rodger Corser, Nicole da Silva","Action, Drama",Christopher Lee, 18+ Adults,,,Southern Star,,,
